Metin;Durum
ıyi ki almışım;1
Aşırı eğleniyorum ??;1
Çok eğlenceli;1
İyi kullanışlı;1
Süper bir ürün;1
Mükemmel ??;1
cok iyi fiyat;1
Süper süper süper;1
çok iyi :);1
Ürün güzel;1
en sevdigim ??;1
Çok güzel ????;1
Eğlenceli bir ürün;1
Alın, aldırın ??;1
Güzel ürün ??????;1
çok guzel bendim;1
kızım cok beğendi;1
??????????;1
süpermiş baya guzel;1
Çocukluğumuza döndük;1
kizim cok begendi??;1
Çok beğendim;1
Çok eğlenceli;1
begenmedim;0
Başarılı güzel;1
harika.cok beğendik;1
Çok eglenceli;1
Hızlı kargo;1
mükemmel bir ürün;1
Güzel ürün;1
Çok keyifli??;1
urun güzel tam;1
Gayet olumlu;1
Nostalji yasadık;1
çok keyifli bir şey;1
harika bir ürün;1
başarılı beğendik;1
Cok keyifli;1
Güzel ürün.;1
oğlum çok beğendi;1
Çok beğendik????;1
Çok güzel;1
Güzel başarılıııııı;1
Muhteşem bir ürün;1
bu fiyata iş görür;1
Oyunlar süper ????;1
Gayet güzel;1
Çok tatlı nostalji;1
?? güzel ürün;1
Ha Ri Ka ??;1
çok iyi :);1
cok iyi fiyat;1
Güzel ürün;1
Hızlı kargo;1
harika.cok beğendik;1
Mükemmel ??;1
çok guzel bendim;1
Güzel ürün ??????;1
Çok güzel;1
Çok güzel ????;1
Güzel başarılıııııı;1
Ürün güzel;1
Süper bir ürün;1
Başarılı güzel;1
Çok beğendim;1
begenmedim;0
kizim cok begendi??;1
??????????;1
cok eğlenceli;1
10 umara konsol :);1
?? güzel ürün;1
Ha Ri Ka ??;1
Gayet güzel;1
Oyunlar süper ????;1
bu fiyata iş görür;1
ba yıl dım;1
Cok guzel oyunlar;1
Gayet güzel;1
Fena değil iş görür;1
bayıldımmmmmmmm;1
Çocukluğumuza döndük;1
kızım cok beğendi;1
süpermiş baya guzel;1
Çok beğendim;1
??????????;1
begenmedim;0
Çok beğendik;1
Güzel ürün ??????;1
çok guzel bendim;1
Eğlenceli bir ürün;1
Alın, aldırın ??;1
Aşırı eğleniyorum ??;1
Mükemmel ??;1
Ürün güzel;1
Süper bir ürün;1
Çok eğlenceli;1
Çok beğendik????;1
Güzel başarılıııııı;1
Çok güzel;1
Çok güzel ????;1
oğlum çok beğendi;1
Çok eğlenceli;1
Gayet eglenceli;1
Çoook iyi.;1
çok güzel şahane;1
gayet başarılı;1
Geri tuşu olmaması kötü;0
Fiyat performans açısından çok iyi, teşekkür ederim;1
Çok çabuk şarjı bitiyor ve bazı oyunlar oynanmıyor geri atıyor kullanıcıyı. Çok gereksiz asla parasını haketmiyor;0
urun çok basit ses kalitesi görüntü kalitesi çok kötü oyunun sesini açtığımda sürekli cızırtı geliyor.en fazla 10 oyun oynanabilir;0
Göründüğünden çok daha küçük 5 oynamadan sonra bozulan, aşırı kötü kalitesiz bir oyun. Sakın almayın, paranızı çöpe atarsınız.;0
Şarjı hemen bitiyor, Türkçe dil desteği yok, geri iade olmadığı söylendi teknik destek vereceklermiş.. teknik servisten ses seda da yok;0
Bir ay sürmedi doğrudürüst oynayamadan bozuldu.düşmedi darbe almadı doğrudürüst kullanamadan yani kısaca ömrü çok kısa...;0
ürünü daha önce başka bir firmadan almıştık fakat 2 günde ekranı kararmaya başladı iade ettik. Sonra burdan aldım 2 haftada bundada aynı sorun başladı üründe kronik bir problem var sanirim.;0
Çok çabuk şarjı bitiyor ve bazı oyunlar oynanmıyor geri atıyor kullanıcıyı. Çok gereksiz asla parasını haketmiyor;0
Bu 2. Yaşayışım ptt kargo ve teslimat başka yere yapılmış neresi kim bilmiyorum. Hem çok gecikmeli hem yanlış ürün yok elimde;0
kötü yorumlara rağmen şans vermek istedim ancak oyun oynarken aniden ekran kararıyor ve ekranın yanında ufak delikten ışık sızıntısı var, iade göndereceğim.;0
Rengine göre karar vermeyin başka renk geliyor. Rengine göre fiyatı değişiyor. Ama aldığında farklı renk geliyor. Değiştirmekle uğraşılacak bir dönemde de değiliz. En ucuzunu alın.;0
Ekran görüntüsü fotoğraftaki gibi değil siyah beyaz ve dil seçeneği Türkçe değil, açıkçası beklentimi karşılamadı;0
Ürün korumasız ve ekranında çizikler olarak geldi. Pili taktığımızda oyun seçemedik. Hiçbir oyun oynanmadı. Kalite olarak zaten pek bir şey beklemiyorduk. Mecburen iade etmek zorunda kaldık.;0
Gelen Ürün sup marka değil. Dizaynı aynı ama çok basit duruyor ve adi . Ekranıda soluk , canlı değil . Firmanın yaptığı aldatmaca . İade edeceğim;0
şarja takmadan çalışmıyor. bataryası bozuk geldi. kutusunu atmış oldum şarjda çalıştığını görünce..çıkarınca hayal kırıklığı oldu..almayın;0
Ufacık bir bağlantı kablosu ile tv yapışık bir şekilde oynayabilirsiniz sarz hemen bitiyor mario özleyenler için idare eder;2
Ürünün kalitesi berbat aldıktan birgün sonra bozuldu bir açıldı bir açılmadı iade ettim reddedildi almanızı tavsiye etmiyorum bu paraya yazık;0
Yorumlara kanarak aldım evet ürün güzel tatlı bir ürün ama daha yeni kullanmaya başlamama rağmen ekran kararıyor ve kendini kapatıyor. Ayrıca 400 oyun denmiş fakat açtığınızda da 400 oyun var gibi gözükse de o kadar oyun yok aynı oyunları tekrar tekrar koymuşlar. Şarj kısmını hiç anlamadık bütün talimatlar ingilizce veya çince. Şarj da edemiyoruz yani. Alırken youtuber/influencer gibi ünlülerin storylerinde görüp parasına değer diye düşündüm aldım ama değmiyor bence hiç almayın .;0
Çok büyük hevesle aldım ama beklediğim gibi gelmedi kalitesi çok çok düşük şarja bağlı kullanılabiliyor sadece maalesef iade;0
Ürün çok kalitesiz 1 hafta olmadan sarj bölmesi içeri kaçtı sarj edilemiyor evet çok pahalı bir ürün değil ama paranızı çöpe atmayın;0
Çok kötü almanızı tavsiye etmem. Çok kaliteli bir şey beklemiyordum ancak bir günde iki kere oynamama rağmen daha ikinci oynamamda ekran karardı ve gitti;0
urun çok basit ses kalitesi görüntü kalitesi çok kötü oyunun sesini açtığımda sürekli cızırtı geliyor.en fazla 10 oyun oynanabilir;0
Ürün aldıgımızda cok begendık fakat cok kısa sürede bozuldu belki şans ama hiç adam akıllı oynayamadan bozulması üzdü;0
Göründüğünden daha küçük ekran kalitesi eski aterilerle aynı özellikle kırmıza almama rağmen siyah geldi;0
Beklediğimden basit bir ürün geldi. İçimdeki oyunlar için aldım ama kalite olarak çok vasat. Tuşlar bile oyun esnasında döküntü çıkarıyor;0
Oyunlar güzel ama tıpkı ataride kasetler gibi 999 in bir ama 10 tanesi farklı gerisi kopya beklentimi pek karşılamadı dogrusu...;0
ürün çok güzel fakat 24 saat geçmeden arızalandı ve şarj olduktan hemen sonra kapanıyor şarj olmuyor iade talep ettik maalesef :(;0
Küçük çocuğunuza alacaksanız iş görebelir fakat kendiniz içinse boşa para vermeyin.İçinde nostaljik çok güzel oyunlar var ama görüntü rezalet aynı şekilde kontrolde çok zor oyun içinde.Üründe çok hafif adi plastikten yapılmış eski kasetli nintedolar vardı görüntüsü o ama kalite yerlerde;0
Çok büyük Hevesle aldık fakat ekranı çizik geldi,oyunun ortasında donuyor, şarjı hemen bitiyor ve belli bir zaman sonra cızırtı yapmaya başlıyor. Mecburen iade edeceğim.;0
Ürünün malzeme kalitesi pek iyi değil. Ayrica ekran kılcal çiziklerle geldi sanki bir süre kullanılmış da kutusuna geri konmus gibi. Neyse ki görüntü de bir engel teskil etmiyor. Onun dışında çok keyifli çocukluguma döndüm..;0
Üründen 2 adet aldım, istediğim renk gelmedi ve içinden tv ye bağlama kablosu çıkmadı aynı zamanda kargo en geç 4-6 gün yazmasına rağmen tam 9 gün sonra geldi.;0
Ekran kalitesi göründüğü gibi değil, sesi biraz çızırtılı çıkıyor ve kırmızı rengini istememize rağmen satıcı bize siyah rengini göndermiş. Gönderime hazırlanırken rengine dikkat edilmiyor sanırım.;0
İndirimde uygun fiyata almıştım ancak beklediğim kalitede bi ürün çıkmadı. Ekran ve tuşlar sürekli donuyor. Alırken oyun konsolu olduğu belirtilmişti ancak paketten çıkmadı.;0
Ürünün şarjı hemen bitiyor ekran çok çabuk kararıyor bilginiz olsun;0
İkinci şarjdan sonra inanılmaz ısınmaya başladı olmasada olur bi konsol;0
Kalitesini çok beğenmediğim için iade ettim,sanki çok çabuk bozulacak imajı veriyor.;0
Cok beğenerek aldım. Cok da güzel vakit geciriyoduk ama 1 ay olmadan bozuldu;0
İçeriği harika ama Çin malı işte şarj almadı iade. Ettim;0
Çok küçük ve ayrıca plastik bir ürün pek sağlam gibi gelmedi üzgünüm ama beğenmedim;0
Güzel bir oyuncak ama yeni nesil çocuklar maalesef hemen sıkılıyor;0
Bir tuşu basmıyordu az daha kaliteli olabilirdi iade ettim;0
Resimde görüldüğü gibi bir ekran yok, imgeler çok küçük, beğenmedim, geri yolladım.;0
ÇOK BEĞENDİM AMA NİYE BEYAZ RENKTE YOLLADINIZ BEN KIRMIZI İSTİYODUM :(;2
Cocklumun oyunları cok güzel ama şarş yerleri hemen bozuldu;2
37 yaşımdayım kendime bir heved aldım şarj yuvası yok ??;0
ürün çok kalitesiz tuşlara zor basılıyor iade ettim o yüzden;0
İdare eder derecede bir ürün Türkçe seçeneğinin olmaması eksi puan. Bizim icin;2
kalitesi düşük çabuk arıza verdi. bataryasını değiştirmek zorunda kaldık.;0
Ürün rengi kırmızı diye aldım beyaz geldi onun dışında oyunlar var içinde güzel super mario var;2
urun güzel ancak kırmızı sipariş verdik siyah geldi;2
Çok hafif ve beklenenden küçük atari ekran kalitesi kötüye yakın fiyatı daha uygun olmalıydı.;0
Ürün eski oyunlar çok güzel sadece kırmızı seçmiştim beyaz geldi onun dışında bir sorun yok.;2
Ürün güzel şirin cocuklar için degisik bi heyecan ?;1
orta sevıye kalıtede bır urun buyuk beklentılerde olmadan keyfını cıkarabılırsınız;2
Ürün biraz küçük geldi.Buna ek olarak şarj süresi epey kısa.;0
geldi güzel ama şarj almıyor fiyatina göre iyi bi ürün değil;0
Kutunun içinden yedek bataryasi cıkmıdı sarjı cok cabuk BİTİYOR;0
Ürünü kırmızı renk seçmemize rağmen , siyah göndermişler, şarjı çok kısa gidiyor;0
Kırmızı sipariş ettim siyah geldi :( onun dışında çok tatlı televizyona bağlanılabiliyor;2
Çok güzel oyunlar var. Ama ekran çok kücük ve şarji çabuk bitiyor.;2
Çok kaliteli bir ürün değil ekranı çabuk gitti daha kalteli olabilirdi.;0
Ürün çok kaliteli değil. Paketlemeside çok özensiz yapılmış;0
Ürün güzel fakat bataryası çabuk bitiyor almak istiyenler kişilere yedek batarya almayı unutmayın :);2
İlginç nostaljil bir ürün, yedek bataryası ve sarj aleti olsaydı daha iyiydi ama;2
Parasına göre çok basit bence;0
Çok kaliteli değil iade ettim;0
Çok küçük ama zaten ölçüleri yazıyor güzel;2
Nostalji oldu. Fiyatına göre gerçekten çok iyi;1
Kullanışlı eski günleri hatırlattı;1
çok hafif bi urun yaninda tasinabilir;1
İşletimi biraz eski ama idare eder;2
Çok uzun süre de geldi ama çok iyi;2
Görüntü kalitesi kötü;0
cok kaliteli degil cabuk bozuluyor;2
Aşırı kalitesiz. Ama ihtiyacı karşılıyor.;0
Oyunlar açılmıyor almayın;0
Yeğenlerime aldım. Severek oynuyorlar;1
Hızlı geldi ama plastik diye iade ettim;0
Kalitesini sevemedim .;0
kayinvalideme aldım onunla oyalanıyor ??;0
sarji cok cabuk bitiyor;0
Çok beklentiniz olmasın;0
kırmızı sipariş ettim sarı geldi;2
Çocukluğumuzın oyuncağı eğlenceli;1
güzel nostaljik hediye olarak aldim.;1
Fiyat performans urunu tesekkurler;1
çok çabuk şarjı bitiyor yoksa çok guzel;2
çok hızlı şarjı bitiyor;0
cok yapmacık oyuncak gibiydi begenemdm;0
Güzel tek sorun ıngılızce olması;2
Tavsiye etmem. Bu fiyata değmez;0
Aynı oyundan 2şer tane var ama güzel;2
Tavsiye etmem. Bu fiyata değmez;0
Çok d beğenmedik. Malzeme kalitesi çok kötü.;0
İyi keyifli baya oyun var;1
Fiyatına göre uygun bir ürün. hızlı teslim edildi.;1
Ürün güzel fiyat uygun eğlenceli;1
Ürün güzel çocuklar beğendi;1
Ürün fiyat performans olarak iyi.;1
ürünün fiyatı hem uygun hemde kaliteli ??;1
güzel ürün gayet kullanışlı;1
Fiyat uygun malzemesi de ona gore;1
Kolda bir sıkıntı oldu ama gayet iyi;2
Ürün gercekten cok guzel..;1
Tv kablosu çok kısa. Oyunlar güzel.;2
Hızlı kargo harıka ürün :);1
Ekranı küçük;0
Nostalji gercekten.;1
güzel diyelim;2
Nostalji tam;1
Fena değil;2
Tatli bir alet ;1
Fena değil;2
eğlenceli.;1
Hızlı kargo;1
harika;1
Eskileri yad ettik ??;1
Tam bir nostalji;1
Kalitesi biraz kötü;0
harika bir urun;1
hem uygun hrm kalite;1
Mikemmel on numara;1
oyunlar harika ??;1
çok keyifli;1
Çok beğendim :);1
iş yapar güzel;1
Çok teşekkür ederim;1
urun çok güzel;1
Ama çok güzelsin ??;1
harika ....;1
cok guzel begendik;1
guzel urun;1
güzel ürün;1
Süper tek kelimeyle;1
bence baya iyi;1
Gayet kaliteli;1
fiyatina gore guzel;1
Hizli geldi ve guzel;1
çok beğendim;1
Ürün çok güzel geldi;1
çok kullanışlı;1
Gayet İyi urun....;1
Güzelllllll;1
Çocukluğummm ??;1
Kalitesini beğenmedim çok ucuz ve kalitesiz malzeme kullanımı vardı oyunlar birbirinin aynısı içinde 150 oyun anca vardır birde sadece Çince ve İngilizce geldiği gibi iade ettim.;0
ürün fiyatına göre degil çok kalitesiz bir kere düşmesiyle şarj yeri bozuldu bataryayı ayriyetten şarj ediyorum onun dışında oyunlar tekrarlıyor ve şarjı çok Çabuk bitiyor almayın tavsiye etmiyorum;0
kirmızi istedim özellikle beyaz geldi halbuki beyazin fiyati daha uygundu ama almadim yinede onu göndermişler bu ilgisizlik beni çok üzdü renk konusunda alacaklar ona gore alsin. onun disinda paketlemesi guzeldi cabuk geldi sorun yaşamadim.. oyunlar cok eğlenceli tavsiye ederim;0
Ürünu begenerek aldim yalniz elime geldiginde ekrani hep cizik arti icinde bi parca kirikmi cikmismi bilmiyorum hafif sallandiginda icindeki o parca ses cikartiyo tik tik die sevmedim iade talebi olusturdum ve geri yollicam en kisa zamanda;0
Hiç memnun değilim çünkü şarjı 15 dakikada bitiyor anlamadım banamı öylesi denk geldi ama çbuk bitiyor.aldığımın ikinci güninden beri öylece rafta duruyor;0
Bir hafta içinde bozuldu ekran kararıyor arkadaki kapak bataryayla temas ediyor ancak kapağı cikartinca çalışıyor oda ikide bir ekran gidiyor;0
Çocukların gözleri için çok tehlikeli bir ürün sadece 10 dk oynadığımda başım ve gözüm ağrıdı çocuklara daha cok zarar verebilir;0
Çok dandik çocuğun elinden düştü hemen şarj olma yeri kırıldı para çöpe gitti üzgünüm bu kdar basit bi yapıda olacağını bilseydim almazdim ??????;0
Ürünün ilk kullanımda sorunu yoktu ancak daha sonra ekran parlaklığı azaldı ve tamamen gitti. dun teslim aldik aksam parlaklığı azaldı daha sonrada tamamen gitti;0
24 saat içinde bozuldu hemen şarj ederken çok cızırtı çıkarıyor heran elimde patlayacak gibi ve yazılarının hepsi çince yazılmış hiçbirşey anlaşılmıyor;0
Hayatımda gördüğüm en uyduruk şey. 7 yaşındaki kızıma aldım o bile anne bu ne böyle dedi. İçinden de ne fatura çıktı nede tv ye bağlanacak konsol gibi şey sakın ama sakın almayın tamamen hayal kırıklığı geri iade ediyorum;0
Kalite olarak beğenmedim plastiği ekranı herşeyiyle 400 oyunu oynayamadan elinizde kalacak hissi veriyor;0
Urun asiri derecede kalitesiz dis kismi plastik resmen ger an kirilacak gibi ve bataryadansorun var dolmuyor.fatirasids elimde yok ama geri gondermeye calisacagim paranizi bosa harcamayin derim cok kalitesiz;0
berbat ötesi birşey kesinlikle tavsiye etmem ve ekran ciziklerle dolu 3310 telefondaki yılan oyunlari gibi verdigimiz paraya yazik açıklamalardaki hiç bir detaya uymuyor..;0
Ürünü aldık ancak beklediğimizden daha dandik çıktı. Sanki hemen bozulabilirmiş gibi çok hafif ve fiyatı buna göre pahalı geldi o yüzden iade ediyorum.;0
Tuşlar çok kötü basması çok sıkıntılı. İçinde 400 tane oyun yok. 400 gibi listelenmiş ama bir yerden sonra liste tekrar etmeye başlıyor. Hyper Olimpics, Hyper Sports gibi kült oyunlarda tuşlar çalışmıyor. Sadece süper mario oynayabilirsiniz.;0
Bataryası bozuktu , şarjdan çıkartınca da çalışmıyordu . İade etmek istedim fakat iademi kabul etmediler ve ürünün iade reddinden sonrası bile iki hafta oldu hala elime ulaşmadı . Şikayet edeceğim bu firmayı da satanı da !;0
ınstagram fenomenlerinden görüp alacaksanız almayın. görüntü kalitesi kötü şarj olmuyor (içinden çıkan aletle de denedim farklı bir kabloyla da denedim) hatta şarj bölmesi içeri göçtü hiç bişey yapmamama rağmen. paranız boşa gider benim gitti.;0
Oğlum süper mario oyunu için almıştı fakat oyunlar çalışmıyor bazı oyunlar donuyor çok hevesle almıştık malesef üzülerek iade edicez;0
"Ekranı çizik ve hasar içinde geldi inanılacak gibi değil, sanki kullanılmıştı; küçücük koruyucu bir şey yapıştırmak bu kadar mı zor ya da maliyetli ya? Aşırı kalitesiz. Hediye olarak almıştım ama hediye edilemeyecek kadar kötü";0
sakin kimse almasin kirmizi istedim siyah yolladilar iade ettim geri yolladılar tuşları basmiyo kalitesiz sacma sapan bir ürün;0
Kasa malzemesi çok ince , eski tetrisler gibi falan değil. Tuşlarında kullanışsız . Sadece tuşları düzgün bassaydı bile eğlenceli olurdu ??;0
Ürün bataryası çok kötü akşam dolsa sabah oynayamıyosun ekran pikseli çoook kötü iade etmek zorunda kaldım;0
Çocuk sevindirmek için aldığımız birşey.. asla kaliteli bişi beklemeyin.. BOZUK,ÇATLAK batarya ile göndermeleri de cabası..;0
Tuşları iki kullanımda bozuldu ayrıca ikinci kolu oluyormuş ben alırken bilmiyordum siz alırken dikkat edinn aynı fiyata koluyla birlikte alırsınız bütün oyunlar var ama bazıları açıl ıyor bunları bilerek verin bence;0
Öncelikle ürün kırmızı yazıyor oyle dıye aldım fakat siyah renk geldi ve camında çizikler var. Kargo çok yavaş 10 günde elime ulaştı. Sıfır ilgi tavsiye etmıyorm.;0
ekran çizik içinde..sanırım kullanılmış ürünü göndermişler..süper mario için almıştım, onu açınca başka oyun açılıyor ?? kullanım klavuzu yerine cep telefonu için klavuz çıktı içinden..iade edicem;0
Okadar dandikti ki 1 kere tuşa bastık ekran beyazlaştı sır kapısı gibiydi trendyol böyle şeyler neden yapıyorsun!??;0
ürün beklediğim gibi gelmedi hayal kırıklığına uğradım. Bizim neslin büyük ekranlarda takıldığını düşünürsek ekranı düşük, mat, karmaşık bi yapısı var. çok istemiyorsanız sakin almayin;0
Ürün 48 saat şarj oldu ancak yine de şarja takılı olmadan çalışmadı resimdeki gibi bir ürün beklemeyin rengi yazıları soluk oyunları için birşey diyemiyorum çünkü göremedik iade ettim;0
Ürün güzel fakat kısa sürede ekranı bozuldu beyaz bi görüntü var hiçbir şey görünmüyor nasıl yaptırılır onu da bilmiyorum;0
Çok kalitesiz. İngilizce ve Çince menüsü var. Türkçe değil. Şarj ettik hemen bitti. İkinci kez şarja koyduk şarj olmuyor. Fişte takılıyken oynamaya çalışıyor çocuk. Kutusunu ve faturasını da attığım için iade de edemedik. Param boşa gitti yani;0
Rezalet paranıza değmez gelen ürün dandik görünümlü plastik basit birşey renkleri canlı değil ekranı açılmıyor bozuk iade edicem;0
ürünü yeğenime hediye olarak almıştım. başlangıçta güzeldi ancak ikinci şarjda bataryası şişti.problem batarya mi kaynakli bilemiyoruz ama şuanda çalışmıyor.ürün hesapli diye almistik ancak iki kullanımda bozulması düşünüldüğünde epey pahali..;0
Uzak Durun !!!!!!!! Geldiği günün ertesi gün ekran kararmaya başladı 2 dk çalışıyor sonra yok, paranıza yazık, bozuk ğrün satan satıcı da ne biliyim ...;0
gerçekten çok dandik bir ürün. çizikti geldiğinde. ekranın bir köşesinde nokta gibi bir yerden ışık sızdırıyordu. ve garip bir ses çıkartıyordu. iade ettim.;0
Çocukların gözleri için çok tehlikeli bir ürün sadece 10 dk oynadığımda başım ve gözüm ağrıdı çocuklara daha cok zarar verebilir;0
Bir hafta içinde bozuldu ekran kararıyor arkadaki kapak bataryayla temas ediyor ancak kapağı cikartinca çalışıyor oda ikide bir ekran gidiyor;0
"1 ay dolmadan arızalandı. Kendi sayfamdan ""fatura gönder"" butonuna basınca """"faturaya ulaşılamıyor"" hatası veriyor.";0
Eski oyunlar var evet cok begenerek aldım fakat gelınce içerğini hiç begenmedım Çok basit ekram kalıtesi hıc yok türkçesi yok hep yabancı isimler saçma sapan birsürü oyun yuklenmiş elle tutulur 5 oyun ancak var bence degmez geri iade ettim hiç begenmedım aynı oyunları yukleyıp yukleyıp durmuşlar ya;0
Fiyatına göre çok iyi;1
Alınmaz çok basit bir ürün üstelik tuşları çok küçük. Çoğu oyunda açılmadı zaten. Tavsiye etmiyorum;0
Çok dandik elime aldım gacur gucur sesler geldi resmen direk iade ettim;0
Oyunlar güzel ama ekran sürekli gidiyor sorunlu ürün geldi.;0
almayin oyunlar turkce degil. oynamasıda guzel degil. bosa para vermeyin;0
Çok kalitesiz 1 ay bile geçmeden üst ekran yerinden çıktı.;0
4 5 kere kullanımdan sonra sarj tutmamaya başladı ve su an asla şarj olmuyor biraz dandik bence...;0
Asla televizyona bağlayıp oynadığımız atarinin keyfini vermiyor ;0
Şarjı çabuk bitiyor görüntü kalitesi iyi değil, idare ediyor.;2
Ürün güzel fakat bazı zamanlarda ekran gidiyor geliyor;2
cok kalitesiz bir ürün bu fiyata degmez iki kere iade ettim her gelen bir oncekinden kotuydu;0
Görüntüsü beklediğimden daha kötü her an bozulcak gibi duruyor pek memnun kaldığımı söyleyemicem;0
Nostalji olması bi yana kesinlikle gereksiz ama çocukluğumu hatırladım;0
Belki fiyati uygun oldugu için ama kalitesiz urun tavsiye etmem;0
Çok kullanışlı değil her çocuğa uygun degul renk kalitesi kötü;0
çok hızlı bozuldu şarj giriş yeri çok az sayıda güzel oyun var;0
oyunların bir kısmı aynı. pek beğenmedim mario ve tank için alınabilir sadece 2 oyun.;0
Super mario oynamak için aldım fakat oyunu açmıyor o yüzden iade edeceğim;0
ürünü iade ediyorum ilk günden ekran kararmaya başladı ikinci gün tamamen karardı üzüldüm gerçekten;0
tuşlarda biraz sıkıntı var sol tuş kendiliğinden basıyor. onun dışında iyi;2
urun guzel cok da zevkli ama iki gunde bataryasi şişti oynarken anlayamadik;2
Maalesef ikinci oynamada ekran kararmaya başladı iade ediyorum;0
Güzel ürün ancak Kablosu uzun olsaydı daha iyi olurdu;2
Tusları bozuldu sesi cıkmıyor toplam 10kez oynanmıstır;0
Bu parayı haketmez, plastik.;0
goruntu kalitesi kotu oldugu icin iade ettim;0
Çok eğlenceli :) hızlı kargo, teşekkürler.....;1
güzel eğlenceli ama indirimde alın;1
sesi biraz cızırtılı sadece;0
Çok iyiydi fakat oyunlar genelde aynı;2
Tuşları sağlıklı basmasada güzel;2
Görüntü kalitesi pek hoş değil;1
fazla para verilip alinacak bir urun degil;0
aynı oyundan 2 tane felan var;0
Aksam adi ama çocuk için fena değil;2
Eh iste idare eder nefis köreltiyor;2
Ekranının görüntüsünü sevmedim;0
Ürün çok basit ama eğlenceli;1
aldığı parayı hak etmiyor.;0
yere düştü 1 kere ve ekran gitti hiç açılmıyor;0
Tuşlar çok iyi basmıyor beklediğim gibi gelmedi.;0
Kalın plastik beklemeyin;0
Çok eğlenceli fakat ekranı çok küçük;0
Kaydetme özelliği olsa çok daha güzel olurdu;2
Ürün ıyı fakat bataryası yandı bir ay sonra;2
Güzel bir ürün rahatça oynayabiliyorsunuz;1
Çocuklar için ideal bir oyun arkadaşı;1
BİRAZ KÜÇÜK AMA FİYATINA GÖRE GÜZEL.;2
açtım hemen kapandı ekrani;0
Çok gereksizmiş tuşları kalitesiz görüntü kötü;0
İdare eder.Oyunlar güzel;2
400 tane oyun yok ama eğlenceli boyutu küçük;2
Çocukluğuma döndüm :);1
şarjı çok sıkıntılı ona göre alın;0
Biraz daha farklı oyunlar olabilirdi;0
Kaydetme özelliği olsa çok daha güzel olurdu;2
Resimdekinin aynısı değil ama güzel.;2
Çok iyi sıkıntı gideriyor;1
Fiyatına göre bu kadar olurdu çok iyi değil;2
İdare eder..;2
eğlenceli nostaljik;1
Çok iyi değil;2
Çocukluğuma gittim;1
Teşekkürler;1
Biraz basit fibi;2
ailecek bayildik;1
Ürün küçük ama güzel;2
Çok güzel??;1
tavsiye ederim;1
Ekranı biraz küçük;0
Gayet eğlenceli????;1
Urun iyidir iyi;1
Güzel bir ürün??;1
Çok eğlenceli;1
Efsoooo bi ürün;1
Guzel gayet memnunuz;1
kaliteli değil;0
fiyatına göre güzel;1
urun guzep;1
Eğlenceli;1
güzel ürün eğlenceli;1
cok kaliteli birsey beklemeyin ama nostaljik cok güzel tavsiye ederim;2
Uygun fiyata kaliteli bir ürün;1
ürün biraz önce bana ulaştı. ekranı çizik içinde. kaç gün bekledim adana' dan gelsin diye. gelen ürün ekranı daha önce kullanılmış gibi.;0
Ürün zaten aşırı sağlam kaliteli bir şey değil, oyunlar güzel tatmin edici olsa da ilk şarj edişimde çok dikkatli olmama rağmen usb girişi kırıldı.;0
ürünü dün teslim aldık ama bugün kızım oynarken içinden dumanlar çıkmaya başladı ve makina kapandı. kalitesi ile çok güven veren bir cihaz değil. yaşadığımız sorun nedeniyle tavsiye etmiyorum, sorun yanımızda gerçekleştiği için şanslıyız, çocugun elinde de patlayabilirdi.;0
Üründen 2 tane aldım çocuklar İçin. Bir tanesinin 5 dk sonra ekranı karardı( belki pili bitmiştir bilmiyorum) diğerini açtım pili taktım ve açılır açılmaz duman çıkmaya başladı. Kablo kokusu sardı evi. Buradaki yorumlara bakarak aldım herkes çok memnundu ama ben hiç memnun kalmadım. Tavsiye etmiyorum yarın iade göndericem;0
Bir yıldız bile çok daha azı olsa emin olun verirdim.Buradaki yorumlara güvenerek aldım çok basit birşey geldi.Tuşlar basmıyor ekran birden kararıp gidiyor.Çöpe atacak paranız varsa alın lütfen;0
Bir hafta oldu geleli ekranı bozuldu. Görüntü kalitesi kötü insalar para kazanma hırsıyla. Sürekli tanıtım yapıyor insanları kandırmalarına izin veriyorlar;0
Ürünü aldıktan bir hafta sonra oynarken ekranı kararmaya başladı. Şu anda ise ekran hiç oynanamayacak şekilde karanlık oluyor. Satıcıya ise ulaşamıyorum. Almanızı tavsiye etmem.;0
Aldığım gün elimden halıya düştüğü anda ekranı karardı bir daha da düzelmedi kalitesi oldukça düşük bir ürün 20 tl olmalı fiyatı ????;0
kutu kırılmış ve iki tarafı açık durumda geldi içerisinde fatura ve gameboy vardı fakat pil ve kablolar yoktu üstelik kargo elime yaklaşık 1 hafta içerisinde ulaştı iade edeceğim.;0
Beğenmedim çok kötü tuşlara iyice basmadan çalışmıyo parmaklarım ağrıdı oynarken kalitesi kötü parasını haketmiyo gereksizmiş pişman oldum aldığım için :(;0
ürünün içinden batarya ve şarz kablosu çıkmadı. trendyol ürünleri eksik göndermeye başladı. hiç memnun kalmadım ??????;0
Fiyatına göre beklediğimden farklı geldi. Plastiği ve görüntüsü kalitesiz. Ekranı hasarlıydı. Maalesef iade ettim.;0
Hiç beğenmedim geldiği zaman şarjı vardı bitince bir daha şarj almadı kullanamıyorum tavsiye etmem kalitesiz;0
